"","Moran.dist.class","Moran.local","p.value","Rownumber","run","Comparison.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step","Run"
"1229",28.8777697529953,0.534366204324511,0,14,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1230",30.9427896976616,0.486685749186217,0,15,85,"equal-or-greater",0,9,1,TRUE,"by-block",85,82
"1231",2.03250997233316,0.890620502457246,0,1,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1232",4.09753041699947,0.877625676651116,0,2,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1233",6.16255036166579,0.86625058815668,0,3,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1234",8.22757030633211,0.847584485204547,0,4,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1235",10.2925902509984,0.822063765787127,0,5,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1236",12.3576101956647,0.795357606321627,0,6,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1237",14.4226301403311,0.76395367709223,0,7,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1238",16.4876500849974,0.727918670599387,0,8,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1239",18.5526700296637,0.689751792985,0,9,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1240",20.61768997433,0.648870844444294,0,10,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1241",22.6827099189963,0.606284628085652,0,11,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1242",24.7477298636626,0.56344463109135,0,12,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1243",26.812749808329,0.514768417117657,0,13,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1244",28.8777697529953,0.471169616360315,0,14,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1245",30.9427896976616,0.423559534586956,0,15,86,"equal-or-greater",0,9,1,TRUE,"by-block",86,83
"1246",2.03250997233316,0.943391136591762,0,1,87,"equal-or-greater",0,9,1,TRUE,"by-block",77,84
"1247",4.09753041699947,0.932183505341787,0,2,87,"equal-or-greater",0,9,1,TRUE,"by-block",77,84
"1248",6.16255036166579,0.922198026253479,0,3,87,"equal-or-greater",0,9,1,TRUE,"by-block",77,84
"1249",8.22757030633211,0.90693617082281,0,4,87,"equal-or-greater",0,9,1,TRUE,"by-block",77,84
"1250",10.2925902509984,0.884406764846503,0,5,87,"equal-or-greater",0,9,1,TRUE,"by-block",77,84
"1251",12.3576101956647,0.859885550919474,0,6,87,"equal-or-greater",0,9,1,TRUE,"by-block",77,84
"1252",14.4226301403311,0.831651117014837,0,7,87,"equal-or-greater",0,9,1,TRUE,"by-block",77,84
"1253",16.4876500849974,0.799150951431967,0,8,87,"equal-or-greater",0,9,1,TRUE,"by-block",77,84
"1254",18.5526700296637,0.763719757316324,0,9,87,"equal-or-greater",0,9,1,TRUE,"by-block",77,84
