"","Mantel.local","Class.Index","P.value","run","Happy.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step"
"15",0.0109895247914995,1,0.0099009900990099,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.1",0.0112339619893796,3,0.0198019801980198,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.2",0.00641679380713411,5,0.0297029702970297,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.3",0.00299780534738634,7,0.0396039603960396,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.4",0.00146502469567672,9,0.0495049504950495,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.5",0.0011356839390185,11,0.0594059405940594,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.6",0.000506318195220982,13,0.0693069306930693,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.7",0.000523409253987537,15,0.099009900990099,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.8",0.000768936631981723,17,0.138613861386139,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.9",0.000942284772693553,19,0.099009900990099,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.10",0.00119854027583908,21,0.108910891089109,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.11",0.000970164486124563,23,0.118811881188119,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.12",0.000979867838317812,25,0.158415841584158,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.13",0.00121258880661595,27,0.158415841584158,15,"equal-or-greater",0,3,1,TRUE,"random",19
"15.14",0.00141290400518446,29,0.178217821782178,15,"equal-or-greater",0,3,1,TRUE,"random",19
"16",0.0105225772519935,1,0.0099009900990099,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.1",0.010781453761862,3,0.0198019801980198,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.2",0.00617951756107799,5,0.0297029702970297,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.3",0.00302504508482777,7,0.0396039603960396,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.4",0.00163678181298654,9,0.0495049504950495,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.5",0.00139605909749234,11,0.0594059405940594,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.6",0.000853878572475471,13,0.0693069306930693,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.7",0.000947492216935666,15,0.0792079207920792,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.8",0.000950744216133733,17,0.0891089108910891,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.9",0.000898464428268031,19,0.099009900990099,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.10",0.00112880324373102,21,0.108910891089109,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.11",0.00141948226742919,23,0.118811881188119,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.12",0.00158635354397988,25,0.128712871287129,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.13",0.00174239086831988,27,0.138613861386139,16,"equal-or-greater",0,3,1,TRUE,"random",19
"16.14",0.0019245112854207,29,0.148514851485149,16,"equal-or-greater",0,3,1,TRUE,"random",19
"17",0.0104067998140797,1,0.0099009900990099,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.1",0.010489728612514,3,0.0198019801980198,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.2",0.00539136440796322,5,0.0297029702970297,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.3",0.00216596207659331,7,0.0396039603960396,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.4",0.000922707299195292,9,0.0495049504950495,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.5",0.000381888122369522,11,0.0693069306930693,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.6",-0.000128863316703055,13,0.356435643564356,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.7",-0.000414325323227357,15,0.237623762376238,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.8",-0.000574049817659334,17,0.277227722772277,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.9",-0.00054337273101718,19,0.356435643564356,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.10",-0.000688782077902987,21,0.415841584158416,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.11",-0.000968710387266646,23,0.346534653465347,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.12",-0.000973201200802291,25,0.415841584158416,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.13",-0.000469908502447788,27,0.485148514851485,17,"equal-or-greater",0,3,1,TRUE,"random",21
"17.14",-0.000410602680791233,29,0.594059405940594,17,"equal-or-greater",0,3,1,TRUE,"random",21
"18",0.0113969943336811,1,0.0099009900990099,18,"equal-or-greater",0,3,1,TRUE,"random",20
"18.1",0.0115868172916184,3,0.0198019801980198,18,"equal-or-greater",0,3,1,TRUE,"random",20
"18.2",0.00626324294674382,5,0.0297029702970297,18,"equal-or-greater",0,3,1,TRUE,"random",20
"18.3",0.00263270035267952,7,0.0396039603960396,18,"equal-or-greater",0,3,1,TRUE,"random",20
"18.4",0.000795802516244584,9,0.0495049504950495,18,"equal-or-greater",0,3,1,TRUE,"random",20
"18.5",7.39360874095439e-05,11,0.405940594059406,18,"equal-or-greater",0,3,1,TRUE,"random",20
"18.6",-0.000582847722310358,13,0.118811881188119,18,"equal-or-greater",0,3,1,TRUE,"random",20
"18.7",-0.000536870209551211,15,0.237623762376238,18,"equal-or-greater",0,3,1,TRUE,"random",20
"18.8",-0.000724958312133882,17,0.237623762376238,18,"equal-or-greater",0,3,1,TRUE,"random",20
"18.9",-0.000857208821393529,19,0.099009900990099,18,"equal-or-greater",0,3,1,TRUE,"random",20
